time_stamp,conductivity,temperature,pressure
2023-09-14 14:30:56.772761,3.3875e-7,22.971,0
2023-09-14 14:30:58.885627,3.3805e-7,22.971,0
2023-09-14 14:31:01.002751,3.378e-7,22.971,0
2023-09-14 14:31:03.117710,3.3744e-7,22.971,0
2023-09-14 14:31:05.232705,3.3712e-7,22.972,0
2023-09-14 14:31:56.669117,6.6114e-7,22.976,0
2023-09-14 14:31:58.784808,3.3008e-7,22.977,0
2023-09-14 14:32:00.902995,3.2983e-7,22.976,0
2023-09-14 14:32:03.018543,3.2964e-7,22.979,0
2023-09-14 14:32:05.133997,3.2919e-7,22.979,0
2023-09-14 14:32:56.668302,3.313e-7,22.993,0
2023-09-14 14:32:58.785034,3.311e-7,22.994,0
2023-09-14 14:33:00.901299,3.3107e-7,22.996,0
2023-09-14 14:33:03.016029,3.3137e-7,22.997,0
2023-09-14 14:33:05.132928,3.3146e-7,22.997,0
2023-09-14 14:33:56.675645,6.3727e-7,22.999,0
2023-09-14 14:33:58.791279,3.1752e-7,22.999,0
2023-09-14 14:34:00.909934,3.1708e-7,23.002,0
2023-09-14 14:34:02.999394,3.1678e-7,23.003,0
2023-09-14 14:34:05.110041,3.1661e-7,23.003,0
2023-10-11 11:01:22.234650,0.10104,18.954,0
2023-10-11 11:01:24.324840,0.050481,18.955,0
2023-10-11 11:01:26.412588,0.050484,18.955,0
2023-10-11 11:01:28.498803,0.050484,18.954,0
2023-10-11 11:01:30.583395,0.050487,18.954,0
2023-10-11 11:02:22.213112,0.10104,18.956,0
2023-10-11 11:02:24.298119,0.050488,18.956,0
2023-10-11 11:02:26.383596,0.050494,18.956,0
2023-10-11 11:02:28.468401,0.050486,18.956,0
2023-10-11 11:02:30.555998,0.050497,18.955,0
2023-10-11 11:03:22.180541,0.10097,18.956,0
2023-10-11 11:03:24.266751,0.050459,18.955,0
2023-10-11 11:03:26.351219,0.050465,18.956,0
2023-10-11 11:03:28.438517,0.050455,18.957,0
2023-10-11 11:03:30.524477,0.050458,18.955,0
2023-10-11 11:04:22.172540,0.10097,18.959,0
2023-10-11 11:04:24.258348,0.050459,18.958,0
2023-10-11 11:04:26.346153,0.050457,18.959,0
2023-10-11 11:04:28.432046,0.05046,18.959,0
2023-10-11 11:04:30.516079,0.050477,18.958,0
2023-10-11 11:05:22.173743,0.1009,18.961,0
2023-10-11 11:05:24.265316,0.050426,18.962,0
2023-10-11 11:05:26.355458,0.050437,18.962,0
2023-10-11 11:05:28.440633,0.050437,18.962,0
2023-10-11 11:05:30.525189,0.050438,18.962,0
2023-10-11 11:06:22.172964,0.10094,18.963,0
2023-10-11 11:06:24.259384,0.050451,18.964,0
2023-10-11 11:06:26.344461,0.050455,18.964,0
2023-10-11 11:06:28.431256,0.050451,18.965,0
2023-10-11 11:06:30.517754,0.050461,18.964,0
2023-10-11 11:07:22.185441,0.10092,18.967,0
2023-10-11 11:07:24.270646,0.05043,18.965,0
2023-10-11 11:07:26.357558,0.050441,18.966,0
2023-10-11 11:07:28.441597,0.050433,18.966,0
2023-10-11 11:07:30.527035,0.050444,18.966,0
2023-10-11 11:08:22.175346,0.10071,18.983,0
2023-10-11 11:08:24.260995,0.050336,18.983,0
2023-10-11 11:08:26.348432,0.050329,18.983,0
2023-10-11 11:08:28.433392,0.050297,18.988,0
2023-10-11 11:08:30.516769,0.050256,18.99,0
2023-10-11 11:09:22.180061,0.10059,18.992,0
2023-10-11 11:09:24.264844,0.050262,18.992,0
2023-10-11 11:09:26.351284,0.050259,18.994,0
2023-10-11 11:09:28.437501,0.050289,18.984,0
2023-10-11 11:09:30.525385,0.050307,18.983,0
2023-10-11 11:10:22.169420,0.10064,18.991,0
2023-10-11 11:10:24.259533,0.050289,18.993,0
2023-10-11 11:10:26.345867,0.050296,18.992,0
2023-10-11 11:10:28.432082,0.050293,18.991,0
2023-10-11 11:10:30.516893,0.050297,18.99,0
2023-10-11 11:11:22.181781,0.10066,18.991,0
2023-10-11 11:11:24.272230,0.050303,18.989,0
2023-10-11 11:11:26.358114,0.050302,18.99,0
2023-10-11 11:11:28.442515,0.050295,18.991,0
2023-10-11 11:11:30.530975,0.050313,18.989,0
2023-10-11 11:12:22.210629,0.10082,18.982,0
2023-10-11 11:12:24.300373,0.050376,18.981,0
2023-10-11 11:12:26.392020,0.050388,18.982,0
2023-10-11 11:12:28.483224,0.050377,18.98,0
2023-10-11 11:12:30.574290,0.0504,18.979,0
2023-10-11 11:13:22.175863,0.10089,18.971,0
2023-10-11 11:13:24.261376,0.050434,18.97,0
2023-10-11 11:13:26.347868,0.050452,18.972,0
2023-10-11 11:13:28.434763,0.05047,18.968,0
2023-10-11 11:13:30.526027,0.050489,18.966,0
2023-10-11 11:14:22.174593,0.10118,18.964,0
2023-10-11 11:14:24.264983,0.050567,18.962,0
2023-10-11 11:14:26.355367,0.050562,18.962,0
2023-10-11 11:14:28.442900,0.050551,18.962,0
2023-10-11 11:14:30.533060,0.050549,18.963,0
2023-10-11 11:15:22.171848,0.10104,18.965,0
2023-10-11 11:15:24.262396,0.050495,18.966,0
2023-10-11 11:15:26.351143,0.050503,18.968,0
2023-10-11 11:15:28.444049,0.050504,18.967,0
2023-10-11 11:15:30.536157,0.050506,18.967,0
2023-10-11 11:16:22.182334,0.10107,18.972,0
2023-10-11 11:16:24.272640,0.050511,18.972,0
2023-10-11 11:16:26.363997,0.050521,18.97,0
2023-10-11 11:16:28.455442,0.050517,18.971,0
