time_stamp,conductivity,temperature,pressure
2023-11-29 11:52:00.981334,0.002767,16.032,14.233
2023-11-29 11:52:03.072290,0.0027879,16.032,13.371
2023-11-29 11:52:05.161702,0.0027515,16.034,13.118
2023-11-29 11:52:07.244746,0.0027736,16.032,13.281
2023-11-29 11:52:09.328261,0.0027757,16.034,14.478
2023-11-29 11:53:00.915603,0.11325,16.04,15.052
2023-11-29 11:53:03.002164,0.11315,16.04,14.113
2023-11-29 11:53:05.089345,0.002742,16.039,14.169
2023-11-29 11:53:07.173171,0.0027535,16.037,14.138
2023-11-29 11:53:09.259201,0.0027456,16.039,14.214
2023-11-29 11:54:00.920334,0.0027291,16.038,15.339
2023-11-29 11:54:03.011110,0.0027291,16.038,14.121
2023-11-29 11:54:05.094354,0.0018234,47.261,33.782
2023-11-29 11:54:07.181570,0.004308,50.023,94.482
2023-11-29 11:54:09.268292,0,165.251,107.54
2023-11-29 11:55:00.915862,0.00010284,16.051,15.419
2023-11-29 11:55:03.003139,0.00010306,16.051,15.536
2023-11-29 11:55:05.090891,0.002727,16.051,15.016
2023-11-29 11:55:07.175265,0.0027299,16.052,15.523
2023-11-29 11:55:09.260351,0.0027298,16.053,15.057
2023-11-29 11:56:00.916389,0.13725,16.066,15.727
2023-11-29 11:56:03.000626,0.13727,16.062,16.025
2023-11-29 11:56:05.087453,0.0027229,16.059,15.45
2023-11-29 11:56:07.172823,0.0027209,16.057,15.801
2023-11-29 11:56:09.258331,0.0027223,16.056,15.887
2023-11-29 11:57:00.919998,0.0027172,16.07,15.597
2023-11-29 11:57:03.005962,0.0027245,16.07,16.482
2023-11-29 11:57:05.094417,0.0027267,16.067,16.456
2023-11-29 11:57:07.177898,0.0027335,16.068,15.888
2023-11-29 11:57:09.264462,0.002713,16.07,15.86
2023-11-29 11:58:00.913931,0.000065044,16.084,16.544
2023-11-29 11:58:03.000406,0.000065129,16.084,15.489
2023-11-29 11:58:05.086492,0.0027469,16.086,15.973
2023-11-29 11:58:07.173748,0.0027487,16.089,15.817
2023-11-29 11:58:09.258230,0.0027518,16.093,16.431
2023-11-29 11:59:00.916435,0.0027514,16.094,16.83
2023-11-29 11:59:03.001602,0.0027498,16.092,15.797
2023-11-29 11:59:05.087407,0.002747,16.093,16.632
2023-11-29 11:59:07.176544,0.0027591,16.094,15.62
2023-11-29 11:59:09.267697,0.0027568,16.094,16.005
2023-11-29 12:00:00.920723,0.10172,16.112,17.205
2023-11-29 12:00:03.006285,0.10174,16.112,16.651
2023-11-29 12:00:05.090165,0.0027778,16.111,16.146
2023-11-29 12:00:07.176350,0.002774,16.107,16.822
2023-11-29 12:00:09.261426,0.0027745,16.105,15.643
2023-11-29 12:01:00.916165,0.0027932,16.117,16.514
2023-11-29 12:01:03.002068,0.0028067,16.116,16.924
2023-11-29 12:01:05.088836,0.0027875,16.119,16.442
2023-11-29 12:01:07.177997,0.0027826,16.12,16.839
2023-11-29 12:01:09.263686,0.0029795,16.12,15.496
2023-11-29 12:02:00.916978,0.000091778,16.122,16.908
2023-11-29 12:02:03.008589,0.000091898,16.12,17.357
2023-11-29 12:02:05.096698,0.0027866,16.119,16.281
2023-11-29 12:02:07.182654,0.0027871,16.116,16.734
2023-11-29 12:02:09.269625,0.0027817,16.115,16.17
2023-11-29 12:03:00.918446,0.16541,16.11,17.028
2023-11-29 12:03:03.008375,0.16541,16.112,16.96
2023-11-29 12:03:05.097737,0.0027688,16.113,16.542
2023-11-29 12:03:07.183000,0.0027616,16.115,16.743
2023-11-29 12:03:09.268378,0.0027709,16.115,17.156
2023-11-29 12:04:00.916870,0.064866,16.118,16.617
2023-11-29 12:04:03.008630,0.064694,16.123,16.555
2023-11-29 12:04:05.098059,0.0027688,16.129,16.98
2023-11-29 12:04:07.187075,0.002756,16.126,15.98
